"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 4"
"Sample Count: 413"
"Start Time: 20/11/2025 11:08:53.4"
"Scan Rate: 2.48399996757507"
"Sample","Time (s)","PH1 (°C)","PH3 (°C)","PH2 (°C)","Ambient (°C)"
"176","1:10.9","93.847","114.641","102.872","20.924"
"177","1:11.3","94.129","114.987","103.232","20.928"
"178","1:11.7","94.370","115.206","103.607","20.929"
"179","1:12.1","94.772","115.644","103.998","20.923"
"180","1:12.5","95.154","116.165","104.395","20.924"
"181","1:12.9","95.497","116.619","104.773","20.928"
"182","1:13.3","95.850","117.018","105.147","20.919"
"183","1:13.7","96.114","117.330","105.544","20.927"
"184","1:14.1","96.365","117.708","105.925","20.927"
"185","1:14.5","96.706","118.069","106.315","20.924"
"186","1:14.9","97.019","118.571","106.697","20.920"
"187","1:15.3","97.345","119.124","107.060","20.922"
"188","1:15.7","97.608","119.510","107.401","20.927"
"189","1:16.1","97.847","119.894","107.761","20.934"
"190","1:16.5","98.101","120.280","108.112","20.934"
"191","1:16.9","98.446","120.921","108.471","20.930"
"192","1:17.3","98.810","121.267","108.849","20.922"
"193","1:17.7","99.121","121.613","109.210","20.926"
"194","1:18.1","99.459","121.935","109.553","20.925"
"195","1:18.5","99.765","122.242","109.907","20.927"
"196","1:18.9","100.100","122.710","110.277","20.931"
"197","1:19.3","100.434","123.334","110.623","20.931"
"198","1:19.7","100.874","123.752","110.986","20.928"
"199","1:20.1","101.292","124.296","111.356","20.918"
"200","1:20.5","101.634","124.782","111.723","20.928"
"201","1:20.9","102.033","125.012","112.056","20.935"
"202","1:21.3","102.403","125.399","112.398","20.933"
"203","1:21.7","102.669","125.815","112.771","20.925"
"204","1:22.1","102.957","126.229","113.131","20.924"
"205","1:22.5","103.354","126.581","113.494","20.925"
"206","1:22.9","103.655","126.929","113.868","20.924"
"207","1:23.3","103.965","127.422","114.248","20.928"
"208","1:23.7","104.343","127.750","114.591","20.930"
"209","1:24.1","104.683","127.907","114.932","20.933"
"210","1:24.5","105.037","128.316","115.291","20.929"
"211","1:24.9","105.268","128.744","115.650","20.933"
"212","1:25.3","105.540","128.947","115.990","20.930"
"213","1:25.7","105.811","129.488","116.335","20.929"
