"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 3"
"Sample Count: 1274"
"Start Time: 19/11/2025 17:11:59.3"
"Scan Rate: 3.31200003623962"
"Sample","Time (s)","Winding Temp (°C)","Ambient (°C)","Stator Body (°C)"
"365","1:50.2","73.299","20.953","33.777"
"366","1:50.5","73.358","20.961","33.900"
"367","1:50.8","73.475","20.964","34.156"
"368","1:51.1","73.777","20.966","34.324"
"369","1:51.4","74.022","20.966","34.381"
"370","1:51.7","74.269","20.963","34.449"
"371","1:52.0","74.440","20.947","34.502"
"372","1:52.3","74.587","20.941","34.546"
"373","1:52.6","74.889","20.994","34.558"
"374","1:52.9","75.057","20.995","34.559"
"375","1:53.2","75.127","20.988","34.573"
"376","1:53.5","75.248","20.981","34.551"
"377","1:53.8","75.343","20.973","34.613"
"378","1:54.1","75.448","20.958","34.835"
"379","1:54.4","75.679","20.956","34.970"
"380","1:54.7","75.826","20.958","35.115"
"381","1:55.0","76.077","20.958","35.163"
"382","1:55.3","76.348","20.951","35.208"
"383","1:55.6","76.470","20.955","35.232"
"384","1:55.9","76.587","20.955","35.323"
"385","1:56.2","76.697","20.959","35.433"
"386","1:56.5","76.829","20.952","35.564"
"387","1:56.8","77.038","20.948","35.580"
"388","1:57.1","77.148","20.941","35.619"
"389","1:57.5","77.292","20.925","35.827"
"390","1:57.8","77.563","20.910","36.033"
"391","1:58.1","77.765","20.913","36.108"
"392","1:58.4","77.976","20.916","36.139"
"393","1:58.7","78.158","20.918","36.199"
"394","1:59.0","78.289","20.924","36.264"
"395","1:59.3","78.526","20.920","36.211"
"396","1:59.6","78.737","20.922","36.204"
"397","1:59.9","78.837","20.928","36.222"
"398","2:00.2","78.963","20.909","36.150"
"399","2:00.5","78.940","20.909","36.153"
"400","2:00.8","78.962","20.930","36.246"
"401","2:01.1","79.113","20.926","36.314"
"402","2:01.4","79.186","20.914","36.326"
"403","2:01.7","79.262","20.907","36.344"
"404","2:02.0","79.286","20.901","36.292"
"405","2:02.3","79.229","20.897","36.220"
"406","2:02.6","79.214","20.900","36.194"
"407","2:02.9","79.286","20.957","36.216"
"408","2:03.2","79.240","20.959","36.292"
"409","2:03.5","79.284","20.952","36.339"
"410","2:03.8","79.261","20.947","36.365"
