Time (s),Power (W),Stator Body (°C)
6.6000000000000005,668.6223,28.76442857142857
6.700000000000001,666.2351555555556,28.78057142857143
6.800000000000001,663.8480111111111,28.796714285714287
6.9,661.4608666666667,28.812857142857144
7.000000000000001,659.0737222222223,28.829
7.1000000000000005,656.6865777777778,28.84642857142857
7.200000000000001,654.2994333333334,28.863857142857142
7.300000000000001,651.912288888889,28.881285714285713
7.4,649.5251444444444,28.898714285714288
7.500000000000001,647.138,28.91614285714286
7.6000000000000005,647.5161222222223,28.93357142857143
7.700000000000001,647.8942444444444,28.951
7.800000000000001,648.2723666666667,28.976428571428574
7.9,648.650488888889,29.001857142857144
8.0,649.0286111111111,29.027285714285714
8.100000000000001,649.4067333333334,29.052714285714288
8.200000000000001,649.7848555555556,29.078142857142858
8.3,650.1629777777778,29.10357142857143
8.4,650.5411,29.129
8.5,650.9192222222223,29.149428571428572
8.600000000000001,651.2973444444444,29.169857142857143
8.700000000000001,651.6754666666667,29.190285714285714
8.8,652.053588888889,29.210714285714285
8.9,652.4317111111111,29.231142857142856
9.0,652.8098333333334,29.251571428571427
9.100000000000001,653.1879555555556,29.272
9.200000000000001,653.5660777777778,29.28842857142857
9.3,653.9442,29.30485714285714
9.4,654.3223222222223,29.321285714285715
9.500000000000002,654.7004444444444,29.337714285714284
9.600000000000001,655.0785666666667,29.354142857142858
9.700000000000001,655.456688888889,29.370571428571427
9.8,655.8348111111111,29.387
9.9,656.2129333333334,29.415125
10.000000000000002,656.5910555555556,29.44325
10.100000000000001,656.9691777777778,29.471375
10.200000000000001,657.3473,29.4995
10.3,657.7254222222223,29.527625
10.4,658.1035444444444,29.55575
10.500000000000002,658.4816666666667,29.583875
10.600000000000001,657.7482777777777,29.612
10.700000000000001,657.0148888888889,29.633857142857142
10.8,656.2815,29.655714285714286
10.9,655.5481111111111,29.67757142857143
11.000000000000002,654.8147222222223,29.69942857142857
11.100000000000001,654.0813333333333,29.721285714285713
11.200000000000001,653.3479444444445,29.743142857142857
11.3,652.6145555555555,29.765
11.4,651.8811666666667,29.789285714285715
11.500000000000002,651.1477777777778,29.81357142857143
11.600000000000001,650.4143888888889,29.837857142857143
11.700000000000001,649.681,29.862142857142857
11.8,648.9476111111111,29.88642857142857
11.9,648.2142222222222,29.910714285714285
12.000000000000002,647.4808333333333,29.935
12.100000000000001,646.7474444444445,29.962857142857143
12.200000000000001,646.0140555555556,29.990714285714287
12.3,645.2806666666667,30.018571428571427
12.4,644.5472777777778,30.04642857142857
12.500000000000002,643.8138888888889,30.074285714285715
12.600000000000001,643.0805,30.102142857142855
12.700000000000001,642.3471111111111,30.13
12.8,641.6137222222222,30.164285714285715
12.9,640.8803333333334,30.19857142857143
13.000000000000002,640.1469444444444,30.232857142857142
13.100000000000001,639.4135555555556,30.267142857142858
13.200000000000001,638.6801666666667,30.301428571428573
13.3,637.9467777777778,30.335714285714285
13.4,637.2133888888889,30.37
13.500000000000002,636.48,30.386142857142858
13.600000000000001,636.4483,30.402285714285714
13.700000000000001,636.4166,30.41842857142857
13.8,636.3849,30.43457142857143
13.9,636.3532,30.450714285714287
14.000000000000002,636.3215,30.466857142857144
14.100000000000001,636.2898,30.483
14.200000000000001,636.2581,30.516142857142857
14.3,636.2264,30.549285714285716
14.4,636.1947,30.582428571428572
14.500000000000002,636.163,30.615571428571428
14.600000000000001,636.1313,30.648714285714284
14.700000000000001,636.0996,30.681857142857144
14.8,636.0679,30.715
14.9,636.0362,30.739285714285714
15.000000000000002,636.0044999999999,30.763571428571428
15.100000000000001,635.9727999999999,30.787857142857142
15.200000000000001,635.9410999999999,30.81214285714286
15.3,635.9093999999999,30.836428571428574
15.4,635.8776999999999,30.860714285714288
15.500000000000002,635.8459999999999,30.885
15.600000000000001,635.8142999999999,30.915142857142857
15.700000000000001,635.7825999999999,30.945285714285717
15.8,635.7508999999999,30.975428571428573
15.9,635.7191999999999,31.00557142857143
16.0,635.6874999999999,31.035714285714285
16.099999999999998,635.6557999999999,31.065857142857144
16.2,635.6240999999999,31.096
16.3,635.5923999999999,31.127
16.4,635.5606999999999,31.158
16.5,635.5289999999999,31.189
16.599999999999998,635.3995444444444,31.22
16.7,635.2700888888888,31.250999999999998
16.8,635.1406333333332,31.282
16.9,635.0111777777777,31.313
17.0,634.8817222222222,31.34614285714286
17.099999999999998,634.7522666666666,31.379285714285714
17.2,634.622811111111,31.41242857142857
17.3,634.4933555555555,31.44557142857143
17.4,634.3639,31.478714285714286
17.5,634.2344444444444,31.511857142857142
17.599999999999998,634.1049888888888,31.545
17.7,633.9755333333333,31.582428571428572
17.8,633.8460777777777,31.619857142857143
17.9,633.7166222222222,31.657285714285713
18.0,633.5871666666667,31.694714285714284
18.099999999999998,633.457711111111,31.732142857142854
18.2,633.3282555555555,31.769571428571428
18.3,633.1988,31.807
18.4,633.0693444444445,31.84185714285714
18.5,632.9398888888888,31.876714285714286
18.599999999999998,632.8104333333333,31.911571428571428
18.7,632.6809777777778,31.946428571428573
18.8,632.5515222222223,31.981285714285715
18.9,632.4220666666666,32.01614285714286
19.0,632.2926111111111,32.051
