"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 6"
"Sample Count: 320"
"Start Time: 20/11/2025 12:27:38.2"
"Scan Rate: 1.65600001811981"
"Sample","Time (s)","PHC-inner (°C)","PHA-inner (°C)","PHA-interface (°C)","Ext-above-PHA (°C)","Ambient (°C)","Ext-above-PHC (°C)"
"155","1:33.6","95.962","100.536","50.228","26.399","21.342","48.398"
"156","1:34.2","96.246","100.949","50.473","-6.505","21.053","48.573"
"157","1:34.8","96.875","101.560","50.751","21.582","20.950","48.929"
"158","1:35.4","97.496","102.000","51.021","58.738","21.506","48.795"
"159","1:36.0","97.651","102.508","51.331","9.427","21.125","49.235"
"160","1:36.6","98.252","103.107","51.610","41.126","21.109","49.539"
"161","1:37.2","98.679","103.560","51.899","22.488","21.511","49.581"
"162","1:37.8","99.082","104.149","52.119","42.753","21.008","50.253"
"163","1:38.4","99.739","104.636","52.468","-4.564","21.138","50.378"
"164","1:39.0","100.003","105.082","52.787","23.114","21.812","50.616"
"165","1:39.6","100.553","105.683","53.100","16.929","21.124","51.010"
"166","1:40.2","101.130","106.208","53.391","63.397","21.101","51.181"
"167","1:40.8","101.455","106.737","53.690","2.595","21.170","51.507"
"168","1:41.4","101.836","107.179","53.928","45.356","21.006","51.700"
"169","1:42.1","102.284","107.799","54.193","10.418","21.260","52.108"
"170","1:42.7","102.905","108.104","54.527","59.131","21.519","52.000"
"171","1:43.3","103.191","108.741","54.808","13.788","21.238","52.722"
"172","1:43.9","103.681","109.140","55.175","55.684","21.102","53.102"
"173","1:44.5","104.296","109.712","55.520","44.481","21.619","52.997"
"174","1:45.1","104.659","110.226","55.869","14.763","21.646","53.751"
"175","1:45.7","104.526","110.735","56.217","29.398","20.976","54.105"
"176","1:46.3","105.607","111.329","56.554","23.132","21.127","54.408"
"177","1:46.9","106.248","111.648","56.914","72.347","21.853","54.521"
"178","1:47.5","106.496","112.290","57.205","7.482","21.447","54.943"
"179","1:48.1","106.801","112.654","57.524","28.688","21.207","55.206"
"180","1:48.7","107.311","113.209","57.841","23.375","19.982","55.719"
"181","1:49.3","107.868","113.685","58.159","62.106","21.099","55.955"
"182","1:49.9","108.373","114.118","58.418","58.272","21.102","56.205"
"183","1:50.5","108.864","114.555","58.852","57.917","21.153","56.533"
"184","1:51.1","109.214","114.960","59.189","84.411","21.325","56.510"
"185","1:51.7","109.666","115.532","59.492","11.136","21.221","56.903"
"186","1:52.3","110.053","116.142","59.959","88.440","21.046","57.428"
"187","1:52.9","110.460","116.631","60.313","92.224","21.203","57.482"
"188","1:53.5","111.071","117.068","60.573","43.907","21.060","57.968"
"189","1:54.1","111.542","117.577","60.950","34.042","21.164","58.156"
"190","1:54.7","111.932","117.997","61.324","31.177","20.148","58.413"
"191","1:55.3","112.564","118.500","61.654","67.206","21.265","58.775"
"192","1:55.9","112.939","118.999","61.975","70.397","21.199","59.263"
"193","1:56.5","113.158","119.577","62.278","35.015","21.650","59.152"
"194","1:57.1","113.566","120.133","62.589","50.835","21.184","59.894"
"195","1:57.8","114.158","120.672","62.940","68.251","21.125","60.226"
"196","1:58.4","114.628","121.199","63.279","16.425","21.162","60.511"
"197","1:59.0","115.161","121.717","63.621","68.918","21.053","60.861"
"198","1:59.6","115.478","122.198","63.950","105.306","21.093","61.096"
"199","2:00.2","115.900","122.740","64.282","25.310","21.042","61.406"
"200","2:00.8","116.506","123.197","64.638","71.894","21.232","61.611"
"201","2:01.4","116.915","123.667","64.942","74.558","21.040","62.106"
"202","2:02.0","117.374","124.139","65.342","28.048","21.074","62.449"
"203","2:02.6","117.810","124.491","65.645","53.479","21.146","62.674"
"204","2:03.2","118.258","125.057","65.936","52.206","21.248","63.006"
"205","2:03.8","118.570","125.563","66.340","26.865","21.182","63.241"
"206","2:04.4","119.078","126.015","66.658","66.746","21.177","63.704"
"207","2:05.0","119.530","126.431","67.028","63.891","21.538","63.698"
"208","2:05.6","119.822","126.779","67.382","49.697","21.862","64.320"
"209","2:06.2","120.415","127.311","67.788","58.275","21.836","64.665"
"210","2:06.8","120.687","127.829","68.195","108.172","21.628","64.595"
"211","2:07.4","121.059","128.026","68.621","47.510","21.055","65.193"
"212","2:08.0","121.461","128.618","69.010","53.703","21.209","65.486"
"213","2:08.6","121.702","129.008","69.362","77.349","21.108","65.717"
"214","2:09.2","122.216","129.241","69.661","110.175","21.867","65.988"
"215","2:09.8","122.690","129.659","69.975","15.678","21.655","66.245"
"216","2:10.4","122.938","130.020","70.279","74.843","21.227","66.574"
"217","2:11.0","123.305","130.355","70.581","75.187","21.216","66.738"
"218","2:11.6","123.746","130.671","71.013","63.859","21.267","66.945"
"219","2:12.2","124.137","131.116","71.342","21.543","21.180","67.338"
"220","2:12.9","124.758","131.534","71.812","86.111","21.144","67.822"
"221","2:13.5","125.082","132.011","72.164","119.540","21.290","67.980"
"222","2:14.1","125.574","132.388","72.490","33.183","21.145","68.489"
"223","2:14.7","125.863","132.672","72.968","56.081","21.141","68.817"
"224","2:15.3","126.314","132.988","73.353","78.868","21.353","68.990"
"225","2:15.9","126.828","133.401","73.639","106.768","21.159","69.552"
"226","2:16.5","127.260","133.670","73.951","85.175","21.217","69.752"
"227","2:17.1","127.648","134.102","74.414","40.826","21.210","70.078"
"228","2:17.7","128.102","134.559","74.876","83.457","21.203","70.401"
"229","2:18.3","128.580","134.942","75.140","96.567","21.124","70.673"
"230","2:18.9","129.012","135.236","75.514","33.847","21.202","70.951"
"231","2:19.5","129.270","135.743","75.829","91.909","21.187","71.312"
"232","2:20.1","129.675","136.257","76.101","88.218","21.283","71.474"
"233","2:20.7","130.001","136.791","76.444","82.451","21.088","72.070"
"234","2:21.3","130.531","137.185","76.787","99.866","21.180","72.295"
"235","2:21.9","130.887","137.785","77.126","73.918","19.910","72.810"
"236","2:22.5","131.516","138.062","77.477","97.681","21.137","73.111"
"237","2:23.1","131.661","138.675","77.761","56.440","21.068","73.488"
"238","2:23.7","132.144","139.029","78.180","86.930","21.122","73.718"
"239","2:24.3","132.459","139.547","78.515","64.296","21.262","74.079"
"240","2:24.9","132.902","139.971","78.862","87.022","20.992","74.364"
"241","2:25.5","133.252","140.419","79.194","95.690","21.131","74.637"
"242","2:26.1","133.746","140.746","79.601","60.810","21.083","75.015"
"243","2:26.7","134.353","141.152","79.915","98.022","21.109","75.312"
"244","2:27.3","134.764","141.513","80.287","87.806","21.129","75.496"
"245","2:27.9","135.030","142.079","80.633","116.410","21.171","75.905"
"246","2:28.6","135.499","142.447","80.962","132.615","21.108","76.244"
"247","2:29.2","135.801","142.729","81.309","73.116","20.972","76.701"
"248","2:29.8","136.387","143.166","81.695","80.787","21.616","76.470"
"249","2:30.4","136.783","143.419","82.020","58.480","21.166","77.211"
"250","2:31.0","137.383","143.868","82.292","129.255","21.758","77.569"
"251","2:31.6","137.775","144.088","82.718","99.179","21.165","77.829"
"252","2:32.2","137.965","144.603","83.061","82.604","21.145","77.951"
"253","2:32.8","138.408","144.906","83.426","119.366","21.018","78.376"
"254","2:33.4","138.858","145.208","83.839","85.676","21.293","78.731"
"255","2:34.0","139.259","145.630","84.169","105.536","21.351","78.894"
"256","2:34.6","139.845","145.852","84.485","70.766","21.108","79.383"
"257","2:35.2","140.444","146.250","84.822","118.328","21.312","79.749"
"258","2:35.8","140.686","146.564","85.234","95.312","21.228","79.956"
"259","2:36.4","141.139","146.811","85.608","51.592","21.169","80.262"
"260","2:37.0","141.504","147.348","85.997","112.880","21.228","80.556"
"261","2:37.6","141.954","147.677","86.245","85.782","21.285","80.800"
"262","2:38.2","142.458","147.959","86.700","113.540","21.211","81.246"
"263","2:38.8","142.952","148.262","87.014","54.151","21.146","81.521"
"264","2:39.4","143.267","148.705","87.421","132.572","21.125","81.791"
"265","2:40.0","143.631","148.994","87.834","71.314","20.965","82.171"
"266","2:40.6","144.079","149.173","88.209","126.577","21.121","82.493"
"267","2:41.2","144.537","149.462","88.490","110.082","21.098","82.752"
"268","2:41.8","145.084","149.899","88.834","126.757","21.248","83.170"
"269","2:42.4","145.230","150.082","89.269","133.884","21.070","83.473"
"270","2:43.0","145.567","150.615","89.623","116.159","20.658","83.867"
"271","2:43.6","146.206","150.987","90.059","65.316","21.042","84.244"
"272","2:44.3","146.701","151.314","90.522","113.976","21.248","84.475"
"273","2:44.9","147.004","151.731","90.884","91.455","21.169","84.999"
"274","2:45.5","147.277","152.095","91.261","138.934","21.185","85.178"
"275","2:46.1","147.869","152.268","91.630","82.780","21.042","85.559"
"276","2:46.7","148.394","152.568","91.963","149.700","21.102","85.915"
"277","2:47.3","148.565","152.850","92.438","125.694","21.092","86.062"
"278","2:47.9","149.007","153.124","92.800","70.697","21.173","86.294"
"279","2:48.5","149.364","153.404","93.242","143.596","21.052","86.421"
"280","2:49.1","149.764","153.755","93.776","102.751","21.098","86.502"
"281","2:49.7","150.311","154.089","94.035","131.955","20.737","86.845"
"282","2:50.3","150.828","154.335","94.294","99.804","21.334","86.904"
"283","2:50.9","151.090","154.669","94.584","86.805","21.097","87.378"
"284","2:51.5","151.509","155.040","94.918","147.190","21.767","87.953"
"285","2:52.1","151.767","155.424","95.236","143.107","21.138","88.518"
"286","2:52.7","152.136","155.826","95.551","87.524","21.075","88.955"
"287","2:53.3","152.818","156.132","95.948","119.835","20.935","89.340"
"288","2:53.9","152.954","156.493","96.240","148.848","21.150","89.813"
"289","2:54.5","153.472","156.827","96.599","86.742","21.963","90.134"
"290","2:55.1","153.670","157.270","96.979","156.933","21.952","90.243"
"291","2:55.7","154.279","157.694","97.307","151.671","20.660","90.691"
"292","2:56.3","154.670","158.048","97.663","123.549","21.221","91.015"
"293","2:56.9","154.978","158.522","98.044","99.640","21.283","91.472"
"294","2:57.5","155.290","158.975","98.431","161.425","21.207","91.817"
"295","2:58.1","155.795","159.324","98.853","157.688","21.070","92.201"
"296","2:58.7","156.430","159.700","99.222","110.893","21.297","92.495"
"297","2:59.3","156.383","160.075","99.505","123.036","21.165","92.910"
"298","3:00.0","157.219","160.359","99.838","108.497","21.120","93.402"
"299","3:00.6","157.457","160.725","100.149","162.852","21.254","93.481"
"300","3:01.2","157.658","161.118","100.308","142.589","21.191","93.712"
"301","3:01.8","158.466","161.436","100.637","150.410","20.997","94.274"
"302","3:02.4","158.618","161.840","100.966","148.047","20.090","94.787"
"303","3:03.0","158.868","162.078","101.275","137.457","21.305","94.751"
"304","3:03.6","159.522","162.584","101.733","102.575","21.195","95.270"
"305","3:04.2","159.918","163.057","102.254","114.973","21.095","95.772"
"306","3:04.8","160.508","163.305","102.744","120.891","21.185","95.945"
"307","3:05.4","160.575","163.768","103.193","109.337","21.203","96.418"
"308","3:06.0","161.046","164.146","103.623","159.513","21.060","96.680"
"309","3:06.6","161.696","164.423","104.013","158.633","21.071","96.983"
"310","3:07.2","161.933","164.867","104.422","183.049","21.110","97.485"
"311","3:07.8","162.105","165.190","104.706","174.581","21.148","97.815"
"312","3:08.4","162.759","165.473","105.100","191.860","21.115","98.141"
"313","3:09.0","163.283","165.764","105.435","175.140","21.122","98.430"
"314","3:09.6","163.464","166.138","105.755","108.813","21.342","98.540"
"315","3:10.2","163.838","166.499","106.153","144.039","21.659","99.142"
"316","3:10.8","164.167","166.840","106.523","153.636","21.204","99.380"
"317","3:11.4","164.708","167.165","106.868","164.230","21.541","99.361"
"318","3:12.0","165.054","167.515","107.246","171.201","21.250","100.005"
"319","3:12.6","165.578","167.925","107.575","106.991","21.934","100.397"
