"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 6"
"Sample Count: 286"
"Start Time: 20/11/2025 12:11:34.8"
"Scan Rate: 1.65600001811981"
"Sample","Time (s)","PHC-inner (°C)","PHA-inner (°C)","PHA-interface (°C)","Ext-above-PHA (°C)","Ambient (°C)","Ext-above-PHC (°C)"
"138","1:23.3","98.828","111.698","48.998","80.099","20.995","48.339"
"139","1:23.9","99.472","112.238","49.303","66.910","20.996","48.577"
"140","1:24.5","99.741","112.905","49.639","60.525","21.003","48.826"
"141","1:25.1","100.105","113.337","50.049","68.848","20.999","49.132"
"142","1:25.7","100.704","113.817","50.346","68.105","21.000","49.436"
"143","1:26.4","100.994","114.513","50.638","70.050","20.998","49.819"
"144","1:27.0","101.476","114.955","51.022","55.465","20.996","50.241"
"145","1:27.6","102.007","115.400","51.337","50.214","20.994","50.605"
"146","1:28.2","102.281","116.054","51.607","56.502","21.006","50.941"
"147","1:28.8","102.704","116.564","51.857","74.645","21.007","51.295"
"148","1:29.4","103.129","116.992","52.069","62.536","21.007","51.612"
"149","1:30.0","103.656","117.517","52.468","68.633","20.997","52.027"
"150","1:30.6","104.191","118.056","52.808","62.073","21.009","52.350"
"151","1:31.2","104.559","118.616","53.189","74.344","21.007","52.704"
"152","1:31.8","104.996","118.976","53.539","76.564","21.007","53.037"
"153","1:32.4","105.424","119.507","53.860","65.915","21.007","53.323"
"154","1:33.0","105.837","119.879","54.152","65.141","21.007","53.655"
"155","1:33.6","106.366","120.216","54.426","63.813","21.010","53.934"
"156","1:34.2","106.834","120.628","54.686","75.661","20.999","54.310"
"157","1:34.8","107.421","121.064","55.100","81.997","21.004","54.562"
"158","1:35.4","107.677","121.706","55.544","79.737","21.010","54.755"
"159","1:36.0","108.040","122.261","55.946","68.163","21.007","55.001"
"160","1:36.6","108.523","122.748","56.408","65.993","21.003","55.159"
"161","1:37.2","109.019","123.112","56.885","79.330","21.008","55.276"
"162","1:37.8","109.206","123.667","57.282","89.142","21.009","55.546"
"163","1:38.4","109.603","124.176","57.672","75.889","21.009","55.780"
"164","1:39.0","109.911","124.553","58.071","73.555","21.015","56.086"
"165","1:39.6","110.386","125.024","58.446","88.135","21.010","56.494"
"166","1:40.2","110.741","125.427","58.761","69.120","21.009","56.835"
"167","1:40.8","111.019","126.024","59.024","76.902","21.010","57.215"
"168","1:41.4","111.407","126.628","59.317","77.204","21.011","57.377"
"169","1:42.1","111.696","127.063","59.657","84.646","21.016","57.752"
"170","1:42.7","112.099","127.471","59.943","72.463","21.008","58.001"
"171","1:43.3","112.565","127.908","60.280","77.076","21.010","58.427"
"172","1:43.9","113.034","128.331","60.623","64.802","21.014","58.733"
"173","1:44.5","113.292","128.859","60.977","83.475","21.021","59.092"
"174","1:45.1","113.738","129.226","61.305","83.285","21.021","59.430"
"175","1:45.7","114.310","129.579","61.650","72.792","21.015","59.795"
"176","1:46.3","114.555","130.138","62.013","86.839","21.022","60.177"
"177","1:46.9","114.970","130.531","62.390","86.944","21.023","60.605"
"178","1:47.5","115.486","130.957","62.758","81.065","21.018","60.962"
"179","1:48.1","115.983","131.291","63.148","82.797","21.011","61.262"
"180","1:48.7","116.376","131.741","63.528","92.588","21.015","61.641"
"181","1:49.3","116.850","132.327","63.963","90.297","21.016","61.977"
"182","1:49.9","117.288","132.639","64.299","81.988","21.018","62.375"
"183","1:50.5","117.790","132.955","64.411","88.179","21.024","62.482"
"184","1:51.1","118.301","133.303","64.687","82.581","21.021","62.863"
"185","1:51.7","118.576","133.827","65.041","90.806","21.026","63.306"
"186","1:52.3","119.009","134.283","65.513","80.858","21.028","63.646"
"187","1:52.9","119.421","134.625","65.968","71.536","21.026","63.953"
"188","1:53.5","119.708","135.044","66.440","78.022","21.027","64.268"
"189","1:54.1","120.179","135.463","66.779","82.151","21.026","64.754"
"190","1:54.7","120.682","135.879","67.091","91.146","21.024","65.176"
"191","1:55.3","120.971","136.366","67.432","85.444","21.027","65.588"
"192","1:55.9","121.242","136.824","67.823","90.209","21.026","66.013"
"193","1:56.5","121.562","137.284","68.228","75.107","21.026","66.392"
"194","1:57.1","121.981","137.751","68.570","91.022","21.029","66.776"
"195","1:57.8","122.289","138.086","68.911","90.849","21.023","67.185"
"196","1:58.4","122.749","138.465","69.203","86.207","21.028","67.493"
"197","1:59.0","123.162","138.801","69.572","78.092","21.026","67.673"
"198","1:59.6","123.626","139.107","69.886","75.370","21.035","67.862"
"199","2:00.2","123.854","139.489","70.236","93.074","21.037","68.128"
"200","2:00.8","124.218","140.064","70.678","93.951","21.042","68.347"
"201","2:01.4","124.526","140.579","71.065","86.166","21.033","68.680"
"202","2:02.0","124.992","141.042","71.389","89.890","21.037","69.082"
"203","2:02.6","125.495","141.454","71.710","96.554","21.040","69.572"
"204","2:03.2","125.899","141.963","72.078","95.331","21.034","69.927"
"205","2:03.8","126.555","142.548","72.404","94.055","21.039","70.290"
"206","2:04.4","127.640","142.945","72.673","93.785","21.042","70.554"
"207","2:05.0","128.714","143.446","72.989","90.511","21.037","70.847"
"208","2:05.6","129.738","143.821","73.510","83.124","21.042","71.199"
"209","2:06.2","130.574","144.095","73.965","76.277","21.039","71.546"
"210","2:06.8","131.079","144.548","74.231","96.806","21.039","71.936"
"211","2:07.4","131.627","145.007","74.506","89.698","21.051","72.151"
"212","2:08.0","132.082","145.306","74.826","102.697","21.049","72.483"
"213","2:08.6","132.680","145.515","75.217","93.250","21.049","72.751"
"214","2:09.2","133.197","145.677","75.377","101.805","21.049","73.027"
"215","2:09.8","133.599","146.045","75.798","95.684","21.047","73.482"
"216","2:10.4","134.099","146.421","76.288","101.691","21.049","73.837"
"217","2:11.0","134.488","146.689","76.961","107.856","21.051","74.197"
"218","2:11.6","134.995","147.074","77.370","92.963","21.052","74.602"
"219","2:12.2","135.478","147.496","77.812","94.700","21.042","74.959"
"220","2:12.9","136.014","147.907","78.268","95.192","21.052","75.289"
"221","2:13.5","136.338","148.409","78.579","99.920","21.052","75.606"
"222","2:14.1","136.600","148.798","78.916","102.021","21.039","75.922"
"223","2:14.7","137.246","149.227","79.276","106.065","21.036","76.337"
"224","2:15.3","137.473","149.727","79.662","104.891","21.044","76.769"
"225","2:15.9","137.810","150.287","80.006","103.330","21.039","77.173"
"226","2:16.5","138.333","150.738","80.380","105.473","21.035","77.671"
"227","2:17.1","138.781","151.017","80.704","103.775","21.038","77.888"
"228","2:17.7","139.141","151.312","81.130","104.533","21.039","78.166"
"229","2:18.3","139.495","151.711","81.632","98.478","21.033","78.513"
"230","2:18.9","139.864","152.098","81.998","104.649","21.033","78.880"
"231","2:19.5","140.436","152.494","82.413","100.346","21.033","79.208"
"232","2:20.1","140.751","152.869","82.873","92.430","21.035","79.485"
"233","2:20.7","141.087","153.266","83.228","91.580","21.033","79.807"
"234","2:21.3","141.608","153.639","83.615","100.572","21.034","80.102"
"235","2:21.9","142.142","153.921","84.032","101.431","21.040","80.276"
"236","2:22.5","142.412","154.451","84.411","112.343","21.043","80.556"
"237","2:23.1","142.807","154.741","84.757","109.688","21.102","80.891"
"238","2:23.7","143.241","155.027","85.203","105.457","21.096","81.129"
"239","2:24.3","143.719","155.328","85.594","107.884","21.101","81.432"
"240","2:24.9","143.982","155.714","85.916","102.535","21.094","81.773"
"241","2:25.5","144.385","156.054","86.305","111.865","21.092","82.154"
"242","2:26.1","144.792","156.211","86.660","115.509","21.092","82.487"
"243","2:26.7","145.291","156.385","87.054","121.597","21.093","82.855"
"244","2:27.3","145.472","156.852","87.492","103.631","21.095","83.284"
"245","2:27.9","145.998","157.127","87.902","109.149","21.094","83.690"
"246","2:28.6","146.330","157.412","88.257","122.190","21.104","84.087"
"247","2:29.2","146.614","157.726","88.651","100.276","21.102","84.359"
"248","2:29.8","147.130","157.993","89.134","104.373","21.098","84.671"
"249","2:30.4","147.451","158.437","89.535","111.020","21.105","84.913"
"250","2:31.0","147.771","158.746","89.884","119.830","21.107","85.348"
"251","2:31.6","148.230","158.967","90.215","124.022","21.106","85.779"
"252","2:32.2","148.540","159.454","90.542","108.051","21.109","85.998"
"253","2:32.8","148.960","159.644","91.070","118.268","21.110","86.246"
"254","2:33.4","149.472","159.780","91.650","116.373","21.119","86.524"
"255","2:34.0","149.618","160.109","92.003","99.808","21.114","86.913"
"256","2:34.6","150.098","160.409","92.388","113.489","21.113","87.312"
"257","2:35.2","150.455","160.648","92.585","119.324","21.129","87.631"
"258","2:35.8","150.711","161.024","92.947","120.246","21.129","87.997"
"259","2:36.4","151.172","161.281","93.340","110.265","21.121","88.357"
"260","2:37.0","151.482","161.659","93.790","121.010","21.130","88.768"
"261","2:37.6","151.923","161.984","94.146","118.743","21.125","89.143"
"262","2:38.2","152.234","162.324","94.529","124.768","21.129","89.426"
"263","2:38.8","152.642","162.687","94.906","114.751","21.120","89.759"
"264","2:39.4","153.074","162.973","95.358","122.400","21.124","90.050"
"265","2:40.0","153.318","163.302","95.638","106.433","21.125","90.292"
"266","2:40.6","153.625","163.556","95.908","115.707","21.122","90.558"
"267","2:41.2","154.038","163.806","96.251","115.554","21.120","90.896"
"268","2:41.8","154.516","164.003","96.606","128.016","21.127","91.376"
"269","2:42.4","154.690","164.370","96.921","110.517","21.125","91.948"
"270","2:43.0","155.341","164.716","97.000","112.635","21.128","92.530"
"271","2:43.6","155.648","165.171","96.945","121.974","21.124","92.912"
"272","2:44.3","155.994","165.462","97.564","132.191","21.124","93.160"
"273","2:44.9","156.471","165.596","98.222","134.901","21.128","93.211"
"274","2:45.5","156.711","165.958","98.765","134.520","21.119","93.496"
"275","2:46.1","157.205","166.341","99.112","126.669","21.124","93.764"
"276","2:46.7","157.648","166.698","99.290","136.401","21.117","93.972"
"277","2:47.3","157.926","167.237","99.695","143.664","21.117","94.446"
"278","2:47.9","158.558","167.675","100.140","144.350","21.115","94.801"
"279","2:48.5","158.827","168.116","100.683","140.389","21.114","94.794"
"280","2:49.1","159.063","168.588","101.265","130.342","21.108","94.806"
"281","2:49.7","159.457","168.998","101.847","148.979","21.107","94.838"
"282","2:50.3","159.913","169.171","102.324","150.707","21.117","95.047"
"283","2:50.9","159.972","169.626","102.730","145.192","21.112","95.517"
"284","2:51.5","160.078","170.065","103.180","128.655","21.103","96.114"
"285","2:52.1","160.340","170.295","103.679","140.474","21.102","96.637"
