"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 3"
"Sample Count: 663"
"Start Time: 19/11/2025 18:47:43.9"
"Scan Rate: 3.31200003623962"
"Sample","Time (s)","Winding Temp (°C)","Ambient (°C)","Stator Body (°C)"
"334","1:40.8","103.477","20.983","48.163"
"335","1:41.1","103.705","20.985","48.291"
"336","1:41.4","103.800","20.981","48.339"
"337","1:41.8","103.970","20.979","48.388"
"338","1:42.1","104.173","20.980","48.501"
"339","1:42.4","104.290","21.040","48.659"
"340","1:42.7","104.427","21.042","48.782"
"341","1:43.0","104.607","21.040","48.868"
"342","1:43.3","104.790","21.035","48.947"
"343","1:43.6","105.120","21.036","49.018"
"344","1:43.9","105.458","21.034","49.144"
"345","1:44.2","105.856","21.036","49.341"
"346","1:44.5","106.227","21.032","49.558"
"347","1:44.8","106.381","21.033","49.697"
"348","1:45.1","106.553","21.030","49.856"
"349","1:45.4","106.746","21.026","49.994"
"350","1:45.7","106.919","21.027","50.152"
"351","1:46.0","107.269","21.022","50.274"
"352","1:46.3","107.662","21.027","50.369"
"353","1:46.6","108.064","21.025","50.509"
"354","1:46.9","108.562","21.023","50.639"
"355","1:47.2","108.995","21.019","50.782"
"356","1:47.5","109.419","21.021","50.989"
"357","1:47.8","109.871","21.015","51.232"
"358","1:48.1","110.232","21.017","51.481"
"359","1:48.4","110.637","21.018","51.738"
"360","1:48.7","111.055","21.012","51.979"
"361","1:49.0","111.380","21.013","52.187"
"362","1:49.3","111.737","21.010","52.320"
"363","1:49.6","112.080","21.006","52.455"
"364","1:49.9","112.361","21.010","52.614"
"365","1:50.2","112.679","21.005","52.816"
"366","1:50.5","112.863","21.005","52.930"
"367","1:50.8","113.049","21.006","53.105"
"368","1:51.1","113.276","21.006","53.243"
"369","1:51.4","113.307","21.003","53.378"
"370","1:51.7","113.364","21.006","53.499"
"371","1:52.0","113.453","20.998","53.608"
"372","1:52.3","113.488","20.995","53.758"
"373","1:52.6","113.669","21.052","54.020"
"374","1:52.9","113.842","21.059","54.231"
"375","1:53.2","114.064","21.059","54.405"
"376","1:53.5","114.339","21.051","54.630"
"377","1:53.8","114.512","21.053","54.837"
"378","1:54.1","114.689","21.057","55.063"
"379","1:54.4","114.855","21.054","55.301"
"380","1:54.7","115.052","21.052","55.489"
"381","1:55.0","115.396","21.048","55.646"
"382","1:55.3","115.779","21.048","55.750"
"383","1:55.6","116.091","21.048","55.883"
"384","1:55.9","116.409","21.047","56.073"
"385","1:56.2","116.640","21.043","56.284"
"386","1:56.5","116.872","21.042","56.513"
"387","1:56.8","117.215","21.041","56.748"
"388","1:57.1","117.498","21.040","56.986"
"389","1:57.5","117.830","21.039","57.224"
"390","1:57.8","118.194","21.032","57.444"
"391","1:58.1","118.468","21.033","57.642"
"392","1:58.4","118.823","21.031","57.844"
"393","1:58.7","119.211","21.033","58.023"
"394","1:59.0","119.489","21.031","58.192"
"395","1:59.3","119.747","21.028","58.348"
"396","1:59.6","119.922","21.029","58.513"
"397","1:59.9","120.133","21.032","58.709"
"398","2:00.2","120.332","21.020","58.909"
"399","2:00.5","120.459","21.024","59.115"
"400","2:00.8","120.640","21.023","59.313"
"401","2:01.1","120.852","21.017","59.473"
"402","2:01.4","121.011","21.018","59.626"
"403","2:01.7","121.210","21.018","59.785"
"404","2:02.0","121.356","21.020","59.953"
"405","2:02.3","121.406","21.012","60.102"
"406","2:02.6","121.494","21.013","60.258"
"407","2:02.9","121.597","21.074","60.467"
"408","2:03.2","121.624","21.065","60.635"
"409","2:03.5","121.723","21.068","60.815"
"410","2:03.8","121.749","21.067","60.973"
"411","2:04.1","121.831","21.067","61.137"
"412","2:04.4","121.953","21.064","61.317"
"413","2:04.7","122.019","21.061","61.486"
"414","2:05.0","122.185","21.059","61.677"
"415","2:05.3","122.323","21.056","61.870"
"416","2:05.6","122.395","21.058","62.055"
"417","2:05.9","122.532","21.056","62.238"
"418","2:06.2","122.624","21.055","62.385"
"419","2:06.5","122.742","21.056","62.532"
"420","2:06.8","122.918","21.054","62.681"
"421","2:07.1","123.008","21.048","62.780"
"422","2:07.4","123.183","21.046","62.896"
"423","2:07.7","123.434","21.049","63.006"
"424","2:08.0","123.619","21.046","63.135"
"425","2:08.3","123.899","21.042","63.281"
"426","2:08.6","124.183","21.047","63.431"
"427","2:08.9","124.457","21.034","63.586"
"428","2:09.2","124.864","21.029","63.714"
"429","2:09.5","125.217","21.036","63.862"
"430","2:09.8","125.605","21.034","64.059"
"431","2:10.1","126.060","21.032","64.183"
"432","2:10.4","126.421","21.030","64.167"
"433","2:10.7","126.785","21.026","64.226"
"434","2:11.0","127.092","21.030","64.407"
"435","2:11.3","127.208","21.023","64.543"
