"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 7"
"Sample Count: 278"
"Start Time: 20/11/2025 15:09:57.4"
"Scan Rate: 1.4190000295639"
"Sample","Time (s)","PHC-inner (°C)","PHA-inner (°C)","PHA-interface (°C)","Ext-above-PHA (°C)","Ambient (°C)","Ext-above-PHC (°C)","Ext-above-PHA-tc2 (°C)"
"128","1:30.2","103.027","99.561","48.888","54.506","19.182","46.853","51.211"
"129","1:30.9","103.593","100.210","49.273","25.762","19.050","47.281","51.462"
"130","1:31.6","104.180","100.819","49.610","6.519","19.220","47.584","51.805"
"131","1:32.3","104.652","101.350","49.989","70.657","19.092","48.075","52.168"
"132","1:33.0","105.372","101.940","50.434","89.044","19.100","48.501","52.643"
"133","1:33.7","105.747","102.057","50.918","24.242","19.470","48.434","53.199"
"134","1:34.4","106.447","102.689","51.283","79.367","19.144","49.207","53.683"
"135","1:35.1","106.979","103.185","51.798","86.012","19.873","49.721","54.223"
"136","1:35.8","107.494","103.573","52.195","65.681","19.069","49.864","54.734"
"137","1:36.5","108.014","104.062","52.672","47.953","19.085","50.376","55.188"
"138","1:37.3","108.661","104.801","53.127","79.900","19.217","50.680","55.665"
"139","1:38.0","108.955","105.327","53.580","106.976","19.650","51.163","56.164"
"140","1:38.7","109.760","105.798","53.916","64.308","19.124","51.544","56.570"
"141","1:39.4","110.163","106.506","54.394","75.741","19.146","51.766","56.923"
"142","1:40.1","110.770","107.377","54.716","7.693","19.145","52.176","57.147"
"143","1:40.8","111.186","108.060","55.085","79.632","19.120","52.828","57.584"
"144","1:41.5","111.676","108.657","55.464","58.057","19.095","53.198","57.983"
"145","1:42.2","112.128","109.173","55.765","37.133","19.542","53.505","58.060"
"146","1:42.9","112.638","109.769","56.080","98.091","17.830","53.830","58.697"
"147","1:43.6","113.360","110.440","56.696","85.515","19.225","54.079","59.093"
"148","1:44.3","113.563","110.902","57.085","96.830","19.258","54.327","59.483"
"149","1:45.0","114.353","111.439","57.454","61.295","19.178","54.651","59.783"
"150","1:45.7","114.684","112.252","57.896","53.560","19.176","55.124","60.296"
"151","1:46.4","115.363","112.675","58.314","81.141","19.151","55.374","60.714"
"152","1:47.1","115.877","113.132","58.702","80.166","19.297","55.566","61.127"
"153","1:47.8","116.493","113.736","59.147","60.566","19.849","55.995","61.290"
"154","1:48.5","117.158","114.715","59.528","85.471","19.324","56.402","61.566"
"155","1:49.2","117.378","115.276","59.949","82.323","19.575","56.823","61.987"
"156","1:49.9","118.151","115.627","60.425","95.557","19.093","57.651","62.431"
"157","1:50.6","118.620","115.933","60.807","108.151","19.239","58.149","62.645"
"158","1:51.3","119.208","116.313","61.318","58.650","19.194","58.588","63.023"
"159","1:52.1","120.044","116.986","61.708","91.776","19.249","58.823","63.409"
"160","1:52.8","120.177","117.649","62.114","48.719","19.113","59.017","63.965"
"161","1:53.5","120.935","118.330","62.493","92.487","19.920","58.891","64.508"
"162","1:54.2","121.536","119.079","62.950","122.115","19.227","59.220","64.864"
"163","1:54.9","122.082","119.608","63.392","32.008","19.121","59.463","65.604"
"164","1:55.6","122.591","120.114","63.763","97.638","19.352","59.844","66.076"
"165","1:56.3","123.094","120.202","64.132","81.654","19.097","60.343","66.625"
"166","1:57.0","123.843","120.568","64.674","97.764","19.556","60.646","66.799"
"167","1:57.7","124.219","121.137","65.127","90.060","19.525","60.985","67.333"
"168","1:58.4","124.863","121.649","65.534","33.585","19.239","61.703","67.912"
"169","1:59.1","125.439","121.796","65.917","101.836","19.240","62.257","68.341"
"170","1:59.8","125.825","122.290","66.468","80.302","19.161","62.612","68.764"
"171","2:00.5","126.569","122.875","66.925","106.189","19.086","63.053","69.130"
"172","2:01.2","126.952","123.038","67.376","76.005","19.046","63.464","69.564"
"173","2:01.9","127.823","123.498","67.802","58.996","19.155","63.820","70.024"
"174","2:02.6","128.057","123.971","68.251","120.294","19.047","64.429","70.456"
"175","2:03.3","128.735","124.531","68.642","102.624","19.283","64.635","70.868"
"176","2:04.0","129.252","124.838","69.103","68.909","19.043","65.159","71.334"
"177","2:04.7","129.814","125.108","69.524","121.871","19.484","65.317","71.621"
"178","2:05.4","130.337","125.248","69.971","125.683","18.999","66.044","72.235"
"179","2:06.1","130.910","125.770","70.603","67.783","19.240","66.348","72.484"
"180","2:06.8","131.374","126.349","71.037","114.876","19.724","66.804","72.855"
"181","2:07.6","131.966","126.684","71.511","139.373","19.145","67.036","73.457"
"182","2:08.3","132.495","126.939","71.958","60.406","19.073","67.557","73.950"
"183","2:09.0","132.998","127.377","72.388","115.457","18.871","67.976","74.329"
"184","2:09.7","133.695","128.006","72.911","116.348","19.062","68.273","74.840"
"185","2:10.4","133.968","128.277","73.309","81.979","19.769","68.485","75.267"
"186","2:11.1","134.668","128.721","73.785","104.527","19.159","68.790","75.610"
"187","2:11.8","134.912","129.297","74.228","84.906","19.149","69.320","76.131"
"188","2:12.5","135.373","129.844","74.700","108.770","19.123","69.630","76.608"
"189","2:13.2","135.989","130.604","75.152","139.105","19.270","70.013","77.108"
"190","2:13.9","136.362","131.066","75.628","95.620","19.166","70.356","77.627"
"191","2:14.6","137.105","131.495","76.109","117.163","19.801","70.590","78.218"
"192","2:15.3","137.277","132.191","76.636","83.334","19.779","71.407","78.299"
"193","2:16.0","137.867","133.270","76.934","115.020","19.142","71.587","78.378"
"194","2:16.7","138.418","135.089","77.051","130.651","19.288","71.961","78.593"
"195","2:17.4","138.642","135.271","77.099","146.212","19.126","71.806","78.666"
"196","2:18.1","139.421","135.986","77.419","110.970","19.233","72.238","78.578"
"197","2:18.8","139.662","137.533","77.886","101.502","19.015","73.043","78.776"
"198","2:19.5","140.076","138.725","78.272","104.143","19.087","73.548","78.813"
"199","2:20.2","140.703","139.711","78.906","79.975","19.054","74.283","79.555"
"200","2:20.9","141.002","140.397","79.556","129.741","19.130","75.145","79.919"
"201","2:21.6","141.579","141.085","79.939","121.415","19.306","75.276","80.413"
"202","2:22.4","141.978","140.846","80.460","106.874","19.176","75.970","80.861"
"203","2:23.1","142.491","142.073","80.841","131.623","19.130","75.900","81.228"
"204","2:23.8","143.016","142.480","81.412","81.283","19.107","75.621","82.276"
"205","2:24.5","143.297","143.211","81.991","121.538","18.999","75.514","82.835"
"206","2:25.2","144.116","144.170","82.473","101.880","19.105","75.614","83.203"
"207","2:25.9","144.491","144.790","82.964","167.738","19.505","75.386","83.188"
"208","2:26.6","145.082","145.530","83.422","138.988","19.582","76.250","83.126"
"209","2:27.3","145.782","146.114","83.880","111.268","19.145","76.628","83.338"
"210","2:28.0","146.102","146.374","84.404","151.470","19.210","77.110","83.397"
"211","2:28.7","146.692","146.731","84.859","110.730","19.156","77.532","83.783"
"212","2:29.4","147.433","147.376","85.275","148.345","19.189","77.819","84.285"
"213","2:30.1","147.706","147.744","85.765","95.231","19.112","78.350","84.674"
"214","2:30.8","148.355","148.222","86.242","140.854","19.152","78.719","85.332"
"215","2:31.5","148.961","148.516","86.727","148.701","19.322","79.137","86.089"
"216","2:32.2","149.315","148.379","87.154","135.352","19.141","79.885","86.757"
"217","2:32.9","150.098","148.268","87.738","165.540","19.210","80.383","87.615"
"218","2:33.6","150.305","148.250","88.230","99.965","19.135","80.952","88.536"
"219","2:34.3","151.037","148.307","88.698","159.775","19.107","81.502","89.099"
"220","2:35.0","151.583","148.364","89.144","121.713","19.174","82.014","89.706"
"221","2:35.7","151.915","148.302","89.657","149.187","19.146","82.324","89.933"
"222","2:36.4","152.682","148.480","90.045","123.342","19.188","82.683","90.509"
"223","2:37.2","153.144","148.605","90.472","168.721","19.392","82.793","91.080"
"224","2:37.9","153.645","148.793","90.978","123.264","18.046","83.512","91.528"
"225","2:38.6","154.129","149.004","91.521","149.021","19.115","84.114","91.704"
"226","2:39.3","154.822","149.439","92.095","128.643","19.168","84.443","92.068"
"227","2:40.0","155.093","149.707","92.581","146.318","19.129","84.919","92.332"
"228","2:40.7","155.671","150.174","92.986","164.641","17.956","85.248","92.601"
"229","2:41.4","156.118","150.751","93.364","139.072","19.275","85.650","92.979"
"230","2:42.1","156.593","151.149","93.906","148.533","19.067","86.016","93.330"
"231","2:42.8","157.428","151.799","94.372","115.461","19.080","86.519","93.567"
"232","2:43.5","157.778","152.340","94.890","164.025","18.052","87.031","93.601"
"233","2:44.2","158.275","152.574","95.499","136.011","19.210","87.280","93.582"
"234","2:44.9","158.908","152.980","96.016","149.621","19.158","87.805","93.866"
"235","2:45.6","159.048","153.414","96.560","142.471","19.079","88.112","94.243"
"236","2:46.3","159.740","153.599","96.979","153.403","19.104","88.559","95.088"
"237","2:47.0","160.414","154.239","97.287","161.802","19.118","88.977","96.403"
"238","2:47.7","160.576","154.995","97.591","147.691","19.225","89.540","96.686"
"239","2:48.4","161.146","155.082","97.999","141.275","19.028","89.958","97.634"
"240","2:49.1","161.742","154.830","98.489","176.318","19.142","90.350","98.700"
"241","2:49.8","161.971","155.522","99.088","164.955","19.257","90.520","99.020"
"242","2:50.5","162.494","155.809","99.431","167.309","19.196","90.951","99.815"
"243","2:51.2","162.971","156.514","99.902","160.220","19.054","91.755","100.361"
"244","2:52.0","163.531","157.183","100.376","145.794","17.983","92.291","101.047"
"245","2:52.7","164.057","157.940","100.813","195.676","19.336","92.557","100.807"
"246","2:53.4","164.407","158.642","101.237","199.773","19.328","92.863","101.158"
"247","2:54.1","164.965","159.181","101.843","171.343","19.607","93.198","101.507"
