"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 3"
"Sample Count: 709"
"Start Time: 19/11/2025 16:36:52.6"
"Scan Rate: 3.31200003623962"
"Sample","Time (s)","Winding Temp (°C)","Ambient (°C)","Stator Body (°C)"
"464","2:20.1","131.186","20.645","73.152"
"465","2:20.4","131.272","20.632","73.286"
"466","2:20.7","131.364","20.629","73.469"
"467","2:21.0","131.381","20.623","73.704"
"468","2:21.3","131.548","20.599","73.818"
"469","2:21.6","131.705","20.633","73.833"
"470","2:21.9","131.761","20.620","73.828"
"471","2:22.2","131.909","20.620","73.970"
"472","2:22.5","132.031","20.616","73.935"
"473","2:22.8","132.238","20.624","73.860"
"474","2:23.1","132.373","20.621","73.972"
"475","2:23.4","132.449","20.667","74.108"
"476","2:23.7","132.489","20.672","74.251"
"477","2:24.0","132.526","20.643","74.423"
"478","2:24.3","132.522","20.690","74.667"
"479","2:24.6","132.593","20.667","74.912"
"480","2:24.9","132.698","20.667","75.230"
"481","2:25.2","132.776","20.656","75.509"
"482","2:25.5","132.963","20.681","75.749"
"483","2:25.8","133.124","20.664","76.013"
"484","2:26.1","133.420","20.653","76.337"
"485","2:26.4","133.719","20.667","76.599"
"486","2:26.7","133.860","20.654","76.831"
"487","2:27.0","134.089","20.666","76.949"
"488","2:27.3","134.366","20.669","77.118"
"489","2:27.6","134.512","20.669","77.340"
"490","2:27.9","134.687","20.667","77.604"
"491","2:28.2","134.852","20.667","77.860"
"492","2:28.6","134.947","20.665","78.126"
"493","2:28.9","135.179","20.645","78.398"
"494","2:29.2","135.423","20.718","78.652"
"495","2:29.5","135.760","20.657","78.900"
"496","2:29.8","136.230","20.666","79.141"
"497","2:30.1","136.628","20.663","79.376"
"498","2:30.4","137.130","20.660","79.597"
"499","2:30.7","137.622","20.643","79.760"
"500","2:31.0","137.962","20.649","79.904"
"501","2:31.3","138.239","20.643","80.069"
"502","2:31.6","138.438","20.639","80.239"
"503","2:31.9","138.587","20.648","80.420"
"504","2:32.2","138.741","20.657","80.604"
"505","2:32.5","138.764","20.647","80.760"
"506","2:32.8","138.853","20.639","80.858"
"507","2:33.1","138.935","20.641","80.966"
"508","2:33.4","138.923","20.645","81.106"
"509","2:33.7","139.075","20.703","81.316"
"510","2:34.0","139.244","20.695","81.481"
"511","2:34.3","139.326","20.684","81.667"
"512","2:34.6","139.457","20.691","81.834"
"513","2:34.9","139.487","20.687","81.979"
"514","2:35.2","139.511","20.689","82.183"
"515","2:35.5","139.609","20.684","82.404"
"516","2:35.8","139.639","20.642","82.517"
"517","2:36.1","139.724","20.669","82.609"
"518","2:36.4","139.832","20.683","82.720"
"519","2:36.7","139.882","20.684","82.850"
"520","2:37.0","140.010","20.675","82.985"
"521","2:37.3","140.136","20.671","83.130"
"522","2:37.6","140.212","20.666","83.307"
"523","2:37.9","140.393","20.673","83.483"
"524","2:38.2","140.582","20.658","83.646"
"525","2:38.5","140.720","20.669","83.791"
"526","2:38.8","140.966","20.664","83.952"
"527","2:39.1","141.108","20.665","84.109"
"528","2:39.4","141.265","20.672","84.296"
"529","2:39.7","141.380","20.656","84.450"
"530","2:40.0","141.430","20.660","84.544"
"531","2:40.3","141.583","20.655","84.675"
"532","2:40.6","141.699","20.656","84.846"
"533","2:40.9","141.814","20.652","85.030"
"534","2:41.2","142.063","20.654","85.216"
"535","2:41.5","142.172","20.612","85.412"
"536","2:41.8","142.223","20.649","85.565"
"537","2:42.1","142.366","20.663","85.721"
"538","2:42.4","142.538","20.648","85.894"
"539","2:42.7","142.686","20.662","86.061"
"540","2:43.0","142.766","20.645","86.215"
"541","2:43.3","142.710","20.643","86.393"
"542","2:43.6","142.780","20.635","86.564"
