"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 6"
"Sample Count: 348"
"Start Time: 20/11/2025 13:04:02.7"
"Scan Rate: 1.65600001811981"
"Sample","Time (s)","PHC-inner (°C)","PHA-inner (°C)","PHA-interface (°C)","Ext-above-PHA (°C)","Ambient (°C)","Ext-above-PHC (°C)"
"286","2:52.7","146.117","142.326","95.983","97.227","21.145","90.054"
"287","2:53.3","146.381","142.511","96.191","143.913","19.871","90.325"
"288","2:53.9","146.474","143.018","96.584","126.467","21.144","90.471"
"289","2:54.5","146.782","143.449","96.820","107.405","21.249","90.708"
"290","2:55.1","147.217","143.606","97.098","151.559","21.331","90.758"
"291","2:55.7","147.573","143.830","97.404","126.225","21.103","91.149"
"292","2:56.3","147.851","144.035","97.746","161.943","21.176","91.101"
"293","2:56.9","148.352","144.140","98.049","93.680","21.246","91.172"
"294","2:57.5","148.698","144.564","98.414","141.264","21.160","91.459"
"295","2:58.1","148.984","144.978","98.772","156.548","20.979","91.890"
"296","2:58.7","149.330","145.338","99.114","139.950","21.369","92.006"
"297","2:59.3","149.841","145.642","99.436","115.951","21.077","92.581"
"298","3:00.0","150.215","146.013","99.728","114.082","21.316","92.767"
"299","3:00.6","150.833","146.239","100.112","143.246","20.776","93.144"
"300","3:01.2","150.869","146.433","100.474","105.499","21.196","93.379"
"301","3:01.8","151.513","146.521","100.774","158.801","21.181","93.663"
"302","3:02.4","151.854","146.994","101.096","109.132","20.720","93.814"
"303","3:03.0","152.333","147.328","101.392","155.767","21.121","94.326"
"304","3:03.6","152.618","147.502","101.666","158.272","21.229","94.488"
"305","3:04.2","153.378","147.669","102.083","154.535","21.255","94.854"
"306","3:04.8","153.631","147.801","102.409","171.389","21.171","95.014"
"307","3:05.4","153.956","147.881","102.611","176.382","21.242","94.941"
"308","3:06.0","154.704","147.921","102.664","181.977","21.296","94.954"
"309","3:06.6","155.087","148.219","103.280","155.717","21.125","95.401"
"310","3:07.2","155.186","148.218","103.633","157.542","21.806","95.558"
"311","3:07.8","155.549","148.489","104.056","178.594","21.142","96.186"
